bhf,location,land
Innsbruck Hbf,no-data,BY
Interlaken Ost,no-data,BY
Interlaken West,no-data,BY
Itzehoe,Itzehoe,SH
Jena Paradies,Jena,TH
Jena West,Jena,TH
Jena-Göschwitz,Jena,TH
Jenbach,no-data,BY
Kaiserslautern Hbf,Kaiserslautern,RP
Karlsruhe Hbf,Karlsruhe,BW
Karlsruhe-Durlach,Karlsruhe,BW
Kassel-Wilhelmshöhe,Kassel,HE
Keitum,no-data,BY
Kempten(Allgäu)Hbf,Kempten+(Allgäu),BY
Kiel Hbf,Kiel,SH
Klagenfurt Hbf,no-data,BY
Klanxbüll,Klanxbüll,SH
Koblenz Hbf,Koblenz,RP
Koebenhavn H,no-data,BY
Kolding st,no-data,BY
Konstanz,Konstanz,BW
Krefeld Hbf,Krefeld,NW
Kronach,Kronach+(Oberfranken),BY
Kufstein,no-data,BY
Kufstein Bahnhof,no-data,BY
Köln Bonn Flughafen,Köln,NW
Köln Hbf,Köln,NW
Köln Messe Deutz,Köln,NW
Köln Messe Deutz Gl.11-12,Köln,NW
Köln-Ehrenfeld,Köln,NW
Königs Wusterhausen,Königs+Wusterhausen,BB
Köthen,Köthen (Anhalt),ST
Lahr(Schwarzw),Lahr,RP
Landeck-Zams,Landeck+(Gemeinde+Teningen),BY
Landquart,no-data,BY
Landstuhl,Landstuhl,RP
Langen am Arlberg,no-data,BY
Langenhorn(Schlesw),Langenhorn+bei+Husum+(Nordsee),BY
Lede,no-data,BY
Leer(Ostfriesl),Leer+(Ostfriesland),NI
Lehrte,Lehrte+bei+Hannover,BY
Leipzig Halle Flughafen,Flughafen+Leipzig//Halle,BY
Leipzig Hbf,Leipzig,SN
Leipzig Messe,Leipzig,SN
Leoben Hbf,no-data,BY
Leverkusen Mitte,Leverkusen,NW
Lichtenfels,Lichtenfels+(Bayern),BY
Liedekerke,no-data,BY
Liestal,no-data,BY
Liezen,no-data,BY
Limburg Süd,Limburg+an+der+Lahn,HE
Limburg(Lahn) Süd,Limburg+an+der+Lahn,HE
Lindau Hbf,Lindau+(Bodensee),BY
Lingen(Ems),Lingen+(Ems),NI
Linz Hbf,no-data,BY
Linz(Donau) Hbf,no-data,BY
Lippstadt,Lippstadt,NW
Liège-Guillemins,no-data,BY
Ludwigsburg,Ludwigsburg,BW
Ludwigshafen(Rh)Hbf,Ludwigshafen+am+Rhein,RP
Ludwigslust,Ludwigslust,MV
Lugano,no-data,BY
Lunderskov st,no-data,BY
Lutherstadt Wittenberg Hbf,Lutherstadt+Wittenberg,ST
Luzern,no-data,BY
Löhne(Westf),Löhne,NW
Lübben(Spreewald),Lübben+(Spreewald),BB
Lübbenau(Spreewald),Lübbenau+(Spreewald),BB
Lübeck Hbf,Lübeck,SH
Lüneburg,Lüneburg,NI
Magdeburg Hbf,Magdeburg,ST
Magdeburg-Buckau,Magdeburg,ST
Mainz Hbf,Mainz,RP
Mallnitz-Obervellach,no-data,BY
Mannheim Hbf,Mannheim,BW
Marburg(Lahn),Marburg+an+der+Lahn,HE
Marienhafe,Marienhafe,NI
Memmingen,Memmingen,BY
Meppen,Meppen,NI
Metzingen(Württ),Metzingen+%28W%FCrttemberg%29,BY
Milano Centrale,no-data,BY
Minden(Westf),Minden+(Westfalen),NW
Montabaur,Montabaur,RP
Monza,no-data,BY
Murnau,Murnau+am+Staffelsee,BY
Mönchengladbach Hbf,Mönchengladbach,NW
Mühlacker,Mühlacker,BW
Mülheim(Ruhr) Hbf,Mülheim+an+der+Ruhr,NW
Mülheim(Ruhr)Hbf,M%FClheim+an+der+Ruhr,BY
Müllheim(Baden),Müllheim,BW
München Hbf,München,BY
München Hbf Gl.5-10,München,BY
München Hbf),München,BY
München Ost,München,BY
München-Pasing,München,BY
Münster(Westf) Hbf,M%FCnster+%28Westfalen%29,BY
Münster(Westf)Hbf,Münster+(Westfalen),NW
Naestved st,no-data,BY
Naumburg(Saale)Hbf,Naumburg+(Saale),ST
Neu-Edingen Friedrichsfeld,Edingen-Neckarhausen,BW
Neu-Ulm,Neu-Ulm,BY
Neumarkt(Oberpf),Neumarkt+in+der+Oberpfalz,BY
Neumünster,Neumünster+(Holstein),SH
Neuss Hbf,Neuss,NW
Neustadt(Weinstr)Hbf,Neustadt+an+der+Weinstraße,RP
Neustrelitz Hbf,Neustrelitz,MV
Neuwied,Neuwied,RP
Niebüll,Niebüll,SH
Nienburg(Weser),Nienburg+(Weser),NI
Noorderkempen,no-data,BY
Norddeich,Norddeich+(Dithmarschen),SH
Norddeich Mole,Norddeich+(Dithmarschen),SH
Norddeich(Norden),Norddeich+(Dithmarschen),SH
Norden,Norddeich+(Dithmarschen),SH
Nykoebing F st,no-data,BY
Nürnberg Hbf,Nürnberg,BY
Nürtingen,Nürtingen,BW
Oberau,Oberau+(Loisach),BY
Oberhausen Hbf,Oberhausen+(Rheinland),RP
Oberhausen(Rheinl) Hbf,Oberhausen+(Rheinland),RP
Oberhausen-Sterkrade,Oberhausen+(Rheinland),RP
Oberndorf(Neckar),Oberndorf+am+Neckar,BW
Oberstdorf,Oberstdorf,BY
Offenburg,Offenburg,BW
Oldenburg(Holst),Oldenburg+in+Holstein,SH
Oldenburg(Oldb),Oldenburg+(Oldenburg),NI
Olten,no-data,BY
Osnabrück Hbf,Osnabrück,NI
Ostseebad Binz,Ostseebad+Binz,BY
Ottignies,no-data,BY
Padborg st,no-data,BY
Paderborn Hbf,Paderborn,NW
Padova,no-data,BY
Papenburg(Ems),Papenburg,NI
Paris Est,no-data,BY
Pasewalk,Pasewalk,MV
Passau Hbf,Passau,BY
Peine,Peine,NI
Pforzheim Hbf,Pforzheim,BW
Piding,Piding,BY
Pinneberg,Pinneberg,SH
Plattling,Plattling,BY
Plochingen,Plochingen,BW
Porrentruy,no-data,BY
Potsdam Hbf,Potsdam,BB
Praha hl.n.,no-data,BY
Praha-Holesovice,no-data,BY
Prenzlau,Prenzlau,QLD
Prien a Chiemsee,Prien+am+Chiemsee,BY
Puttgarden,Puttgarden,BY
Pörtschach am Wörther See,no-data,BY
Radolfzell,Radolfzell,BW
Radstadt,no-data,BY
Rastatt,Rastatt,BW
Rathenow,Rathenow,BB
Ravensburg,Ravensburg,BW
Recklinghausen Hbf,Recklinghausen+(Westfalen),NW
Regensburg Hbf,Regensburg,BY
Remagen,Remagen,RP
Rendsburg,Rendsburg,SH
Reutlingen Hbf,Reutlingen,BW
Rheine,Rheine,NW
Rheine Bahnhof,Rheine,NW
Rheydt Hbf,Mönchengladbach,NW
Ribnitz-Damgarten West,Ribnitz-Damgarten,MV
Riesa,Riesa,SN
Rimini,no-data,BY
Roedby,no-data,BY
Roedekro st,no-data,BY
Rosenheim,Rosenheim,BY
Roskilde st,no-data,BY
Rostock Hbf,Rostock,MV
Rottweil,Rottweil,BW
Rovereto,no-data,BY
Saalfeld(Saale),Saalfeld+(Saale),TH
Saarbrücken Hbf,Saarbrücken,SL
Sagehorn,Oyten,NI
Salzburg Hbf,no-data,BY
Salzburg Süd,no-data,BY
Salzburg Süd Bahnhof,no-data,BY
Sargans,no-data,BY
Schaffhausen,no-data,BY
Scharbeutz,Scharbeutz,SH
Schellebelle,no-data,BY
Schladming,no-data,BY
Schleswig,Schleswig,SH
Schorndorf,Schorndorf+(Remstal),BY
Schwarzach-St.Veit,no-data,BY
Schwerin Hbf,Schwerin,MV
Schwäbisch Gmünd,Schw%E4bisch+Gm%FCnd,BY
Schärding,no-data,BY
Schönebeck(Elbe),Schönebeck (Elbe),ST
Seelze,Seelze,NI
Selzthal,no-data,BY
Serskamp,no-data,BY
Siegburg Bonn,Bonn,NW
Siegburg Bonn,Siegburg,NW
Sierksdorf,Sierksdorf,SH
Singen(Hohentwiel),Singen+(Hohentwiel),BW
Skanderborg st,no-data,BY
Soest,Soest+(Westfalen),NW
Solingen Hbf,Solingen,NW
Sonthofen,Sonthofen+(Oberallgäu),BY
Spaichingen,Spaichingen,BW
Spiez,no-data,BY
Spittal-Millstätter See Bahnhof,no-data,BY
Spittal-Millstättersee,no-data,BY
St Georgen(Schwarzw),St.+Georgen+im+Schwarzwald,BW
St-Ursanne,no-data,BY
St. Anton am Arlberg,no-data,BY
St. Gallen(CH),no-data,BY
St. Johann im Pongau,no-data,BY
St. Margrethen,no-data,BY
St. Valentin,no-data,BY
St.Michael in Obersteiermark,no-data,BY
St.Pölten Hbf,no-data,BY
