eva,ds100,name,lat,lon,city_search_string,city,zip,filename
8001083,KBB,Bonn-Beuel,50.738476,7.127657000000001,Bonn,Bonn,53225.0,Bonn
8001084,KBD,Bonn-Duisdorf,50.716475,7.042548,Bonn,Bonn,53123.0,Bonn
8001088,KBEC,Bonn-Endenich Nord,50.73559,7.0622110000000005,Bonn,Bonn,53121.0,Bonn
8001085,KBM,Bonn-Mehlem,50.669153,7.181342,Bonn,Bonn,53179.0,Bonn
8001086,KBO,Bonn-Oberkassel,50.715073,7.1593,Bonn,Bonn,53227.0,Bonn
8070754,KBO M,Bonn-Oberkassel Mitte,50.712604,7.1710600000000015,no-data,no-data,,
8070027,PQBR,Bonn-Ramersdorf,50.722279,7.155262,no-data,no-data,,
8001089,HBHB,Bookholzberg,53.099112,8.532556,Ganderkesee,Ganderkesee,27777.0,
8007061,ABOS,Boostedt,54.017738,10.0162,no-data,no-data,,
8001090,TBP,Bopfingen,48.855153,10.351707000000001,Bopfingen,Bopfingen,73441.0,
8000045,KBOP,Boppard Hbf,50.231413,7.586102,Boppard,Boppard,56154.0,
8000324,KBPS,Boppard Süd,50.230197,7.5955210000000015,Boppard,Boppard,56154.0,
8000742,KSAL,Boppard-Bad Salzig,50.205251000000004,7.635480999999999,Boppard,Boppard,56154.0,
8001235,KBZ,Boppard-Buchholz,50.210802,7.5548759999999975,Boppard,Boppard,56154.0,
8002004,KFLH,Boppard-Fleckertshöhe,50.197925,7.577889,Boppard,Boppard,56154.0,
8002861,KHIR,Boppard-Hirzenach,50.175075,7.648436,Hirzenach-Boppard,Hirzenach-Boppard,56154.0,
8001092,ABRD,Bordesholm,54.174372999999996,10.043711,Bordesholm,Bordesholm,24582.0,
8001093,EBOR,Borgeln,51.59826500000001,8.032033,Welver-Borgeln,Welver-Borgeln,59514.0,
8001095,EBHS,Borgholzhausen,52.085229,8.266579,Borgholzhausen,Borgholzhausen,33829.0,
8080200,BBOR,Borgsdorf,52.715252,13.27675,Hohen Neuendorf OTBorgsdo,Hohen Neuendorf OTBorgsdo,16556.0,
8001097,EBOK,Bork(Westf),51.66933,7.456308,Selm (Bork),Selm (Bork),59379.0,
8001098,FBOK,Borken(Hess),51.050684000000004,9.277000000000001,Borken (Hessen),Borken (Hessen),34582.0,
8000346,EBK,Borken(Westf),51.848962,6.865278999999999,Borken,Borken,46325.0,
8011238,BBK,Borkheide,52.230775,12.854413000000001,Borkheide,Borkheide,14822.0,
8011242,LBL,Borna(Leipzig),51.117926000000004,12.486291,Borna,Borna,4552.0,
8070447,EBHT,Bornholte(b Verl),51.87494,8.534366,no-data,no-data,,
8001104,FBO,Borsdorf(Hess),50.42941,8.975223,Nidda,Nidda,63667.0,
8010059,LBOR,Borsdorf(Sachs),51.345705,12.541165,Borsdorf,Borsdorf ,4451.0,
8000047,EBTH,Bottrop Hbf,51.50945,6.936684,Bottrop,Bottrop,46244.0,
8001107,EBTB,Bottrop-Boy,51.537163,6.967728999999999,Bottrop,Bottrop,46240.0,
8001108,EBTV,Bottrop-Vonderort,51.501728,6.912294,Bottrop,Bottrop,46242.0,
8001110,SBO,Bous(Saar),49.275979,6.792639,Bous (Saar),Bous (Saar),66359.0,
8400098,PNABP,Boven-Hardinxveld,51.832221999999994,6.4492655999999995,no-data,no-data,,
8001111,TBOX,Boxberg-Wölchingen,49.485596,9.640048,Boxberg,Boxberg,97944.0,
8400128,ONBM,Boxmeer,51.644521767652996,6.4158334732056,no-data,no-data,,
8400129,ONBX,Boxtel,51.58433,6.4062361,no-data,no-data,,
8001112,EBRB,Brachbach,50.821987,7.941492,Mudersbach,Mudersbach,57555.0,
8001113,KBRC,Brachelen,51.007824,6.231463,Hückelhoven,Hückelhoven,41836.0,
8000048,EBWE,Brackwede,51.99737800000001,8.498426,Bielefeld,Bielefeld,33647.0,Bielefeld
8011248,WBRH,Brahlstorf,53.36442099999999,10.951992,Brahlstorf,Brahlstorf,19273.0,
8001120,HBKE,Brake(Unterweser),53.328817,8.48135,Brake,Brake ,26919.0,
8001118,EBRA,Brake(b Bielefeld),52.069653,8.604913999999999,Bielefeld,Bielefeld,33729.0,Bielefeld
8001121,HBKH,Brakel(Höxter),51.712165,9.1832,Brakel,Brakel ,33034.0,
8001122,HBRM,Bramsche,52.410879,7.9750070000000015,Bramsche,Bramsche,49565.0,
8001123,HBRA,Bramstedt(b Syke),52.871611,8.786024000000001,Bassum,Bassum,27211.0,
8011250,BBRA,Brand Tropical Islands,52.029953000000006,13.72149,Halbe OT Brand,Halbe OT Brand,15757.0,
8011252,LBA,Brandenburg Altstadt,52.4117,12.530347,Brandenburg an der Havel,Brandenburg an der Havel,14770.0,Brandenburg an der Havel
8010060,LB,Brandenburg Hbf,52.400554,12.566138,Brandenburg an der Havel,Brandenburg an der Havel,14776.0,Brandenburg an der Havel
8001126,FBRD,Brandoberndorf,50.431621,8.493816,no-data,no-data,,
8001128,MBRS,Brandstätt,48.0730131,12.127557199999998,no-data,no-data,,
8001129,MBB,Brannenburg,47.741354,12.106464,Brannenburg,Brannenburg,83098.0,
8001130,KBRB,Braubach,50.27414,7.6431869999999975,Braubach,Braubach,56338.0,
8011255,LBS,Braunsbedra,51.288781,11.884594,Braunsbedra,Braunsbedra,6242.0,
8011256,LBSO,Braunsbedra Ost,51.289916,11.902549,Braunsbedra,Braunsbedra,6242.0,
8000049,HBS,Braunschweig Hbf,52.252218,10.540295,Braunschweig,Braunschweig,38102.0,Braunschweig
8001134,HGLI,Braunschweig-Gliesmarode,52.275721000000004,10.551499,Braunschweig,Braunschweig,38104.0,Braunschweig
8011257,DBDL,Braunsdorf-Lichtenwalde,50.879776,13.011854,Niederwiesa,no-data,,
8400131,XNBR,Breda,51.595554351807,6.3642466,no-data,no-data,,
8400132,ONBRP,Breda-Prinsenbeek,51.606388092040994,6.3486,no-data,no-data,,
8011258,WBDN,Breddin,52.886047,12.224216,Breddin,Breddin,16845.0,
8001137,EBDL,Bredelar,51.41917,8.776566,Marsberg,Marsberg,34431.0,
8001136,ABRB,Bredenbek,54.315112,9.867004,Bredenbek,Bredenbek,24796.0,
8001139,ABST,Bredstedt,54.621166,8.970336,Bredstedt,Bredstedt,25821.0,
8001140,SBRE,Brefeld,49.31355113,7.04914158,no-data,no-data,,
8011260,LBN,Brehna,51.554457,12.222163,Brehna,Brehna,6796.0,
8079063,KBRN,Breinig,50.731121,6.21404,no-data,no-data,,
8001143,RBRS,Breisach,48.026918,7.58935,Breisach,Breisach,79206.0,
8011263,DBRE,Breitenbrunn(Erzg),50.477081,12.746053,no-data,no-data,,
8001147,MBRN,Breitenbrunn(Schwab),48.138586,10.408505,Breitenbrunn,Breitenbrunn,87739.0,
8001148,NBRE,Breitendiel,49.691382,9.225052,no-data,no-data,,
8011264,DBTD,Breitendorf,51.138652,14.622726,Hochkirch-Breitendorf,Hochkirch-Breitendorf,2708.0,
8001149,NBG,Breitengüßbach,49.96683,10.887135,Breitengüßbach,Breitengüßbach,96149.0,
8001153,KBRS,"Breitscheidt(Altenkirchen, Ww)",50.748435,7.661486,Breitscheidt,Breitscheidt ,57539.0,
8011265,UBRT,Breitungen(Werra),50.752475,10.322230000000001,Breitungen/Werra,Breitungen/Werra,98597.0,
8000050,HB,Bremen Hbf,53.083481000000006,8.813834,Bremen,Bremen,28195.0,Bremen
8007896,HBKO,Bremen Kreinsloger,53.188781999999996,8.557846000000001,no-data,no-data,,
8007895,HBMU,Bremen Mühlenstraße,53.18521,8.57134,no-data,no-data,,
8001155,HBN,Bremen Neustadt,53.075782,8.785808,Bremen,Bremen,28199.0,Bremen
8007897,HBTU,Bremen Turnerstraße,53.193236999999996,8.545403,no-data,no-data,,
8007892,HBRN,Bremen-Aumund,53.185226,8.617338,no-data,no-data,,
8007894,HBRB,Bremen-Blumenthal,53.183634999999995,8.58118,no-data,no-data,,
8001156,HBB,Bremen-Burg,53.160288,8.704773,Bremen,Bremen,28719.0,Bremen
8007898,HBRF,Bremen-Farge,53.2052,8.516602,no-data,no-data,,
8001157,HBHM,Bremen-Hemelingen,53.054572,8.886759,Bremen,Bremen,28309.0,Bremen
8001159,HBL,Bremen-Lesum,53.17071600000001,8.686152,Bremen,Bremen,28717.0,Bremen
8001160,HBM,Bremen-Mahndorf,53.039761999999996,8.944627,Bremen,Bremen,28309.0,Bremen
8001161,HBON,Bremen-Oberneuland,53.087038,8.938511,Bremen,Bremen,28355.0,Bremen
8001162,HBOS,Bremen-Oslebshausen,53.135298,8.740801,Bremen,Bremen,28239.0,Bremen
8001163,HBSC,Bremen-Schönebeck,53.1728,8.649481,Bremen,Bremen,28759.0,Bremen
8001164,HBSB,Bremen-Sebaldsbrück,53.061355000000006,8.887383,Bremen,Bremen,28309.0,Bremen
8001165,HBMG,Bremen-St Magnus,53.17158000000001,8.669732000000002,Bremen,Bremen,28759.0,Bremen
8001166,HBV,Bremen-Vegesack,53.169716,8.629968,Bremen,Bremen,28757.0,Bremen
8001167,HBWA,Bremen-Walle,53.10379200000001,8.786241,Bremen,Bremen,28219.0,Bremen
8000051,HBH,Bremerhaven Hbf,53.534912,8.599555,Bremerhaven,Bremerhaven,27570.0,
